algorithm,scale,n_nodes,total_rate,chain_length,n_service_types,n_chains,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
Random-Proportional,medium,5,100,6,15,4,0.906778246210858,0.6208109393035272,0.11644897379085407,0.16951833311647668,3,4,0.5542857142857143,0.667041843220339
Random-Proportional,medium,5,200,6,15,4,3.7423026045500944,1.6896535896173108,0.11644897379085407,1.9362000411419293,2,4,0.5542857142857143,0.667041843220339
Random-Proportional,medium,5,300,6,15,4,6.271553086286162,1.726736016614171,0.11644897379085407,4.428368095881137,2,4,0.5542857142857143,0.667041843220339
Random-Proportional,medium,5,400,6,15,4,9.205655517512247,2.029114937106983,0.11644897379085407,7.060091606614409,1,4,0.5542857142857143,0.667041843220339
Random-Proportional,medium,5,500,6,15,4,11.99669406658403,2.041262929817937,0.11644897379085407,9.838982162975238,1,4,0.5542857142857143,0.667041843220339
Random-Proportional,medium,5,600,6,15,4,14.846070472838381,2.1117487797114514,0.11644897379085407,12.617872719336074,1,4,0.5542857142857143,0.667041843220339
FFD,medium,5,100,6,15,4,0.7250091554224644,0.5992719159192654,0.12573723950319893,0.0,4,4,0.12571428571428572,0.1621822033898305
FFD,medium,5,200,6,15,4,1.105919972185509,0.9711323016693112,0.1347876705161979,0.0,4,4,0.2057142857142857,0.26089777542372883
FFD,medium,5,300,6,15,4,0.6211479874075007,0.5374572193468093,0.08369076806069128,0.0,4,4,0.2914285714285714,0.3708156779661017
FFD,medium,5,400,6,15,4,0.8238898040727661,0.7577623929366102,0.06612741113615585,0.0,4,4,0.37142857142857144,0.4641684322033898
FFD,medium,5,500,6,15,4,0.6655096674672948,0.568630071404399,0.0968795960628959,0.0,4,4,0.4514285714285714,0.5715969279661017
FFD,medium,5,600,6,15,4,1.4069463228028378,1.2958964945473836,0.11104982825545376,0.0,4,4,0.5314285714285715,0.6703125
DRS,medium,5,100,6,15,4,0.7521813395476834,0.6934263959937639,0.05875494355391963,0.0,4,4,0.12571428571428572,0.1621822033898305
DRS,medium,5,200,6,15,4,1.5762206742982139,1.4734718658028572,0.10274880849535684,0.0,4,4,0.2057142857142857,0.26089777542372883
DRS,medium,5,300,6,15,4,1.2331187831226391,1.1198205038700682,0.11329827925257115,0.0,4,4,0.2914285714285714,0.3708156779661017
DRS,medium,5,400,6,15,4,1.709638228249017,1.591721595934113,0.11791663231490404,0.0,4,4,0.37142857142857144,0.4641684322033898
DRS,medium,5,500,6,15,4,1.4480471270988395,1.3287815401945242,0.11926558690431521,0.0,4,4,0.4514285714285714,0.5715969279661017
DRS,medium,5,600,6,15,4,2.729445862508067,1.6948031943098945,0.12620796719911428,0.9084347009990578,2,4,0.52,0.6565148305084746
LEGO,medium,5,100,6,15,4,0.6898876561218487,0.6128810471866466,0.07700660893520206,0.0,4,4,0.12571428571428572,0.1621822033898305
LEGO,medium,5,200,6,15,4,1.445048476403133,1.3443095309555884,0.10073894544754466,0.0,4,4,0.2057142857142857,0.26089777542372883
LEGO,medium,5,300,6,15,4,0.9372203861169145,0.8197626833984083,0.1174577027185061,0.0,4,4,0.2914285714285714,0.3708156779661017
LEGO,medium,5,400,6,15,4,1.3373098336971045,1.2238941717185003,0.1134156619786045,0.0,4,4,0.37142857142857144,0.4641684322033898
LEGO,medium,5,500,6,15,4,1.196493988834207,1.0784432901467194,0.11805069868748755,0.0,4,4,0.4514285714285714,0.5715969279661017
LEGO,medium,5,600,6,15,4,2.8160029718347466,2.6938350058538423,0.12216796598090392,0.0,4,4,0.5314285714285715,0.6703125
