algorithm,scale,n_nodes,total_rate,chain_length,n_service_types,n_chains,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
Random-Proportional,medium,5,400,3,15,4,0.2401059295156781,0.18745579509240246,0.052650134423275666,0.0,4,4,0.2742857142857143,0.3203125
Random-Proportional,medium,5,400,4,15,4,0.3136337652247139,0.23361102591963062,0.08002273930508332,0.0,4,4,0.3142857142857143,0.3669226694915254
Random-Proportional,medium,5,400,5,15,4,0.3644013601757783,0.26788979607790453,0.0965115640978738,0.0,4,4,0.37142857142857144,0.4506091101694915
Random-Proportional,medium,5,400,6,15,4,0.4473341512420922,0.3148804946783486,0.1324536565637435,0.0,4,4,0.44,0.5550715042372881
Random-Proportional,medium,5,400,7,15,4,0.5255377472872802,0.3726597531116618,0.1528779941756185,0.0,4,4,0.48,0.6008077330508474
Random-Proportional,medium,5,400,8,15,4,0.5436357121852894,0.36339330596807407,0.1802424062172153,0.0,4,4,0.5257142857142857,0.6576403601694916
FFD,medium,5,400,3,15,4,0.1631121945132788,0.11742561207551741,0.045686582437761386,0.0,4,4,0.2742857142857143,0.3203125
FFD,medium,5,400,4,15,4,0.18921385575193472,0.1397281003382402,0.0494857554136945,0.0,4,4,0.3142857142857143,0.3669226694915254
FFD,medium,5,400,5,15,4,0.22724897627283605,0.1646335054920249,0.06261547078081113,0.0,4,4,0.37142857142857144,0.4506091101694915
FFD,medium,5,400,6,15,4,0.2837213878476883,0.19252803438750643,0.09119335346018188,0.0,4,4,0.44,0.5550715042372881
FFD,medium,5,400,7,15,4,0.31673389348451,0.2283746182840324,0.08835927520047752,0.0,4,4,0.48,0.6008077330508474
FFD,medium,5,400,8,15,4,0.3976708764925849,0.2599658198824911,0.13770505661009383,0.0,4,4,0.5257142857142857,0.6576403601694916
DRS,medium,5,400,3,15,4,0.1983855582513156,0.15614077655845848,0.042244781692857114,0.0,4,4,0.2742857142857143,0.3203125
DRS,medium,5,400,4,15,4,0.27214927977347986,0.19726111281941988,0.07488816695405992,0.0,4,4,0.3142857142857143,0.3669226694915254
DRS,medium,5,400,5,15,4,0.35485801451509935,0.2625445536912527,0.09231346082384659,0.0,4,4,0.37142857142857144,0.4506091101694915
DRS,medium,5,400,6,15,4,0.404850932080152,0.29124676293518226,0.1136041691449698,0.0,4,4,0.44,0.5550715042372881
DRS,medium,5,400,7,15,4,0.4831405453990959,0.3359153230369036,0.14722522236219235,0.0,4,4,0.48,0.6008077330508474
DRS,medium,5,400,8,15,4,0.5196979298786669,0.3586710940635497,0.1610268358151172,0.0,4,4,0.5257142857142857,0.6576403601694916
LEGO,medium,5,400,3,15,4,0.2646919279899051,0.21162787167035607,0.05306405631954899,0.0,4,4,0.2742857142857143,0.3203125
LEGO,medium,5,400,4,15,4,0.35254351991310834,0.2702525216642698,0.08229099824883854,0.0,4,4,0.3142857142857143,0.3669226694915254
LEGO,medium,5,400,5,15,4,0.4568011083742651,0.3472518187331572,0.10954928964110795,0.0,4,4,0.37142857142857144,0.4506091101694915
LEGO,medium,5,400,6,15,4,0.4956280410828368,0.3646190438564166,0.13100899722642018,0.0,4,4,0.44,0.5550715042372881
LEGO,medium,5,400,7,15,4,0.5474412141123749,0.3907594923152595,0.1566817217971154,0.0,4,4,0.48,0.6008077330508474
LEGO,medium,5,400,8,15,4,0.5611303527997171,0.3936314522979071,0.16749890050181002,0.0,4,4,0.5257142857142857,0.6576403601694916
