step,load_factor,cpu_factor,gpu_factor,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
0,1.274,0.963,1.215,18.696254235572223,2.1402823469877026,0.16082639764510553,16.395145490939417,1,4,0.6580616233226375,0.5155200378734576
1,1.197,0.757,1.285,44.39007745747589,22.888787280562283,0.1585290522338426,21.342761124679754,0,4,0.657982340132175,0.3833379876558779
2,1.261,1.172,0.777,13.490278867247707,1.1035362518935439,0.15934949275528673,12.227393122598874,2,4,0.6534651649410661,0.9706842613966635
3,0.95,0.922,1.256,14.018963806951588,1.1321199656196903,0.16204944936541743,12.72479439196648,3,4,0.655744830939725,0.47692236046928477
4,1.144,1.194,0.966,11.428062998879723,1.0164811318310283,0.16143585366594726,10.250146013382746,2,4,0.6507612615135498,0.7929884573641822
5,0.727,1.033,0.738,4.165951707237589,0.9125497644314114,0.16155025181729568,3.091851690988882,3,4,0.6505683200853354,0.8980898327854325
6,1.328,1.079,1.155,15.949407864415038,1.556563447884422,0.15912318067056486,14.23372123586005,1,4,0.6557832974281846,0.6057143744030506
7,0.855,1.282,1.236,5.177260480223739,0.8935570692714949,0.16076177416508794,4.122941636787156,3,4,0.6527146684646425,0.6671945585282192
8,1.278,0.817,0.98,27.808188821564514,3.2909341954991755,0.16069168538015566,24.35656294068518,0,4,0.653150219932327,0.537523009681221
9,0.544,0.793,1.11,3.825729501120918,0.9127882308416295,0.16408543875844536,2.748855831520843,3,4,0.6590193842011317,0.46419776617291575
10,1.245,1.281,0.895,9.574165121917131,0.9924709114602235,0.16040254130062553,8.42129166915628,2,4,0.6519466001991344,0.919772636736414
11,0.87,0.982,0.814,9.614452795896046,0.9804852457590514,0.15979701007925923,8.474170540057735,3,4,0.6570920666459692,0.7834523199314758
12,0.63,0.985,0.836,3.438559158453968,0.8999971296535295,0.16058304989096497,2.377978978909473,3,4,0.6568970458864959,0.7664198864637081
13,1.17,0.962,1.2,9.512442417686001,1.5601905608377826,0.15538348880443384,7.796868368043785,2,4,0.6587700308339697,0.5222032956104147
14,1.2,0.887,1.199,21.71040901677066,1.9945952872839527,0.15977220490788321,19.556041524578823,1,4,0.6539825029620298,0.4797286178353547
15,1.305,0.932,0.873,31.134352600409933,10.100834593947571,0.15489818489397666,20.87861982156839,1,4,0.6534943458540695,0.6881786042780953
16,1.182,0.784,0.82,27.841119104254055,4.463536613291397,0.16025278283391714,23.217329708128737,0,4,0.6549618946752334,0.6218347639411725
17,0.507,1.172,1.099,0.926460501357849,0.7645947040656438,0.16186579729220513,0.0,4,4,0.6550817831509899,0.6870525241851353
18,1.205,1.168,0.975,10.621300607582379,1.086405297977232,0.16289708599072242,9.371998223614426,2,4,0.6533450957509805,0.771775623454083
19,1.069,0.784,0.769,13.081107623187172,2.156030119310592,0.15767387090603496,10.767403632970545,1,4,0.6549395784684662,0.663273433732206
20,1.168,0.983,1.039,12.411829771408254,1.564295713953761,0.16254925154871572,10.684984805905776,2,4,0.6587455763776747,0.6166999604738257
21,1.265,1.081,1.032,11.414837125101819,1.4729182114746129,0.1625628814326717,9.779356032194533,2,4,0.6546715360231395,0.6777236312351911
22,1.059,0.882,0.718,10.694753285331629,1.7288514636720835,0.15755004312676288,8.808351778532783,2,4,0.6551956225278323,0.7958944186343655
23,0.937,0.829,0.945,10.512191133093994,1.4291563208743197,0.1596358789209902,8.923398933298685,3,4,0.6598786964234779,0.5700659456159738
24,1.353,0.84,0.735,40.006509473872455,6.256278472265328,0.16415686655633804,33.58607413505079,0,4,0.6560722354836367,0.7440958586932997
25,0.781,0.876,1.097,8.574070867977158,0.9936648038511453,0.15921173430765104,7.421194329818363,3,4,0.6547470399652875,0.5164113231907811
26,1.057,1.17,1.099,8.454934634139361,0.9648113070343696,0.16168308589003996,7.328440241214951,2,4,0.6541908359551101,0.6864207781914203
27,0.906,1.188,0.8,5.275263808914823,0.9392186680014112,0.1623786237212759,4.173666517192135,3,4,0.6517549646114081,0.9529595205554081
28,0.523,0.754,1.133,4.121121636387525,0.9389390954223806,0.16042634877338624,3.0217561921917584,3,4,0.657184140955012,0.43392461239632424
29,0.962,0.797,1.001,13.751568708473183,1.9456047040703888,0.15748927403383367,11.64847473036896,3,4,0.6583557808810382,0.5156766705574655
30,0.652,1.118,0.968,2.7696394426384714,0.8833830740177508,0.1628064873578968,1.7234498812628236,3,4,0.6549901142068754,0.7502689881973301
31,0.881,0.881,1.078,9.162147597885737,1.1047790717789931,0.1604716047371106,7.896896921369631,3,4,0.6562836186334106,0.5303829397205783
32,0.862,0.753,0.771,11.11452210915644,1.2696413168246359,0.16202035484115784,9.682860437490644,3,4,0.6584405136409506,0.6380574336706807
33,1.462,1.245,1.12,10.416727769323455,1.3397946989713294,0.16167323315441673,8.915259837197707,2,4,0.654325326538415,0.7177194413059567
34,0.766,1.282,1.167,3.836137355134691,0.882238317964486,0.16083759620798968,2.793061440962215,3,4,0.6531796845390694,0.7064186242659797
35,1.217,0.97,0.863,16.713228030286693,1.657954780708894,0.1616182180920967,14.893655031485702,1,4,0.6560949107238095,0.7265442511113497
36,0.596,1.242,0.973,1.0674840994753025,0.9084919445582702,0.1589921549170321,0.0,4,4,0.6544178766997331,0.8246865488119535
37,0.702,0.884,1.048,5.947057398921407,0.9589327481710475,0.16200230407650437,4.826122346673855,3,4,0.6543028842983275,0.545895380520924
38,0.677,1.214,1.155,3.5061166928024114,0.8745074231743215,0.15985601947473976,2.47175325015335,3,4,0.6509052957871329,0.6743600377078866
39,1.219,0.959,1.076,16.486087392766915,1.5537227637082545,0.16251548452372852,14.76984914453493,1,4,0.6562006401775383,0.5778605072744153
40,1.084,1.09,0.751,12.446887231193548,1.0569832164634834,0.15985810843452397,11.23004590629554,2,4,0.6533153229003839,0.9357440731439585
41,0.916,0.725,0.996,14.503445101483756,1.84951648222719,0.16294839220619148,12.490980227050375,1,4,0.6558166675382161,0.4720213524227214
42,0.83,0.787,0.762,8.55741909973066,1.1506861525052543,0.16255313637022878,7.2441798108551785,3,4,0.6554156447734311,0.6708464589814571
43,1.088,0.802,1.255,12.460649419231082,2.0230292957348275,0.15531287718190392,10.28230724631435,1,4,0.6565487863114541,0.4145949203346804
44,1.081,0.908,1.055,13.962731973210609,2.4178080214806723,0.16117745843480968,11.383746493295126,2,4,0.6538219277582151,0.5562980951143923
45,0.523,1.275,0.989,0.8736086034165578,0.7126070014154768,0.16100160200108093,0.0,4,4,0.6511912848945769,0.826445698717553
46,1.283,0.75,0.992,38.09493311848191,4.660035055908658,0.15676045068934952,33.27813761188391,0,4,0.6580557168382543,0.4919841626415325
47,0.991,1.263,1.043,8.365885871769546,1.0136061952090138,0.158941286908872,7.193338389651661,3,4,0.6523033233161645,0.7788917729867884
48,0.973,0.86,0.899,13.3131375224576,1.2778856820581572,0.15867402049040938,11.876577819909032,3,4,0.6565237497233701,0.6229861892724119
49,1.021,0.963,0.713,9.67277570700301,1.273138081626771,0.1618585174078292,8.23777910796841,3,4,0.6580480895316987,0.8786359929523446
