step,load_factor,cpu_factor,gpu_factor,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
0,1.274,0.963,1.215,1.8149704485357263,0.9326810359995649,0.04875124103229021,0.8335381715038712,3,4,0.6920460264050272,0.37363034382484767
1,1.197,0.757,1.285,6.202821895474031,1.796268893470718,0.044863187895935276,4.361689814107377,0,4,0.6884718058184195,0.26964795158385757
2,1.261,1.172,0.777,0.5407793341875259,0.4920657745488293,0.04871355963869653,0.0,4,4,0.6756918712315787,0.6722601088443205
3,0.95,0.922,1.256,1.0929085531421012,0.6107882203426563,0.04916648825769389,0.43295384454175107,2,4,0.6775223345502693,0.3296521120470051
4,1.144,1.194,0.966,0.4200549755599809,0.37019442863184865,0.04986054692813223,0.0,4,4,0.680681319514173,0.549541537985233
5,0.727,1.033,0.738,0.2909415992350912,0.24246014375859787,0.04848145547649329,0.0,4,4,0.6656978159012735,0.626645712056113
6,1.328,1.079,1.155,2.0823168298157757,1.049507902154181,0.04103661047029523,0.9917723171912995,3,4,0.6757808953518624,0.4189325287808815
7,0.855,1.282,1.236,0.2497318598329849,0.20215497969352733,0.04757688013945755,0.0,4,4,0.6823044001017062,0.47019032817577816
8,1.278,0.817,0.98,7.754281063898736,1.7956594469574547,0.050511984467195105,5.908109632474087,0,4,0.6631706556635064,0.3624620329614086
9,0.544,0.793,1.11,0.2770203567598737,0.22880536162620266,0.04821499513367105,0.0,4,4,0.6834275095419142,0.32007137164905797
10,1.245,1.281,0.895,0.4108972817741757,0.36744171905576367,0.04345556271841208,0.0,4,4,0.6833237092996274,0.6489095284335603
11,0.87,0.982,0.814,0.31967767186977025,0.2767360163515399,0.04294165551823035,0.0,4,4,0.6790709246998714,0.5579817757860058
12,0.63,0.985,0.836,0.2748330193656292,0.22800546816341774,0.04682755120221139,0.0,4,4,0.6765284518555175,0.5429917674277857
13,1.17,0.962,1.2,1.3814114281900793,0.8019266055718942,0.05295719659090838,0.5265276260272767,3,4,0.6927910183418273,0.3784741281643078
14,1.2,0.887,1.199,2.863852524141088,1.1232724635443818,0.04968400003684455,1.6908960605598615,1,4,0.6808125543656004,0.33804494928868173
15,1.305,0.932,0.873,3.177578880509157,1.3106726027888098,0.052570183986127485,1.8143360937342197,1,4,0.6702506111323789,0.4743001010124262
16,1.182,0.784,0.82,5.4490005990627095,1.7958164578015405,0.05993099110233368,3.5932531501588354,0,4,0.6644540960473382,0.42270925547525307
17,0.507,1.172,1.099,0.23850212629391135,0.19064644506499298,0.04785568122891836,0.0,4,4,0.6753943965820282,0.4752502413499055
18,1.205,1.168,0.975,0.48817598728786593,0.4399023733003946,0.04827361398747122,0.0,4,4,0.6775430622602762,0.535456782975948
19,1.069,0.784,0.769,3.6428909507992535,1.7461082842667208,0.04930582357665587,1.8474768429558766,1,4,0.6644314564172844,0.45087832911184667
20,1.168,0.983,1.039,1.3274271122310422,0.7565555243204283,0.04850368374168131,0.5223679041689326,3,4,0.6784322257866627,0.4369184665280536
21,1.265,1.081,1.032,1.2959996331278358,0.8455906776789459,0.04684275957442887,0.40356619587446113,3,4,0.6746352316537084,0.4687365640409841
22,1.059,0.882,0.718,1.769177083102766,0.8732416087899976,0.04935094164555007,0.8465845326672183,2,4,0.684708938857915,0.564288720088739
23,0.937,0.829,0.945,1.938656079255355,1.069507213967564,0.045641015328624766,0.8235078499591661,1,4,0.6535941374099208,0.3758524493562185
24,1.353,0.84,0.735,8.452736764988806,2.842289044946649,0.047570319032273274,5.562877401009883,0,4,0.6693530499671112,0.5228393747750983
25,0.781,0.876,1.097,0.40826607546542254,0.35945888326116704,0.0488071922042554,0.0,4,4,0.6895649759426894,0.3695358260994213
26,1.057,1.17,1.099,0.3556658561293238,0.30738769130517196,0.04827816482415186,0.0,4,4,0.676442224933175,0.47538970745853854
27,0.906,1.188,0.8,0.3135705388430234,0.2670876036433449,0.046482935199678464,0.0,4,4,0.6836853231082206,0.6634523480042375
28,0.523,0.754,1.133,0.2715831602818167,0.23209143644000796,0.03949172384180876,0.0,4,4,0.6907340820848473,0.3057998355803746
29,0.962,0.797,1.001,1.852906271200124,1.061448980478204,0.04381804357465738,0.7476392471472628,1,4,0.6798340545835402,0.3550020709797587
30,0.652,1.118,0.968,0.2560975846000097,0.2006045858094741,0.055492998790535625,0.0,4,4,0.6709654828460674,0.5088713581302607
31,0.881,0.881,1.078,0.7093891015344413,0.6695567932313409,0.039832308303100486,0.0,4,4,0.6858459437970775,0.37604122255985
32,0.862,0.753,0.771,0.7734541642917813,0.7290905175333047,0.044363646758476594,0.0,4,4,0.6920545939169152,0.4496584262178689
