algorithm,scale,n_nodes,total_rate,chain_length,n_service_types,n_chains,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
Random-Proportional,medium,5,400,6,10,4,7.603923610888596,2.2125948475747133,0.11464493536715055,5.276683827946732,0,4,0.5085714285714286,0.710646186440678
Random-Proportional,medium,5,400,6,20,4,6.442307571057651,1.39232291702593,0.11398515223258349,4.935999501799137,2,4,0.5714285714285714,0.7105270127118644
Random-Proportional,medium,5,400,6,30,4,13.785932542950976,2.639776656603541,0.1256618586042137,11.020494027743219,1,4,0.5257142857142857,0.744239936440678
Random-Proportional,medium,5,400,6,40,4,10.710484420145022,2.171422065892799,0.11395206433202423,8.4251102899202,2,4,0.5828571428571429,0.7159030720338984
Random-Proportional,medium,5,400,6,50,4,12.563440025819599,2.7096401152870646,0.10751618651642224,9.746283724016111,1,4,0.5771428571428572,0.6740995762711864
Random-Proportional,medium,5,400,6,60,4,20.826154279693792,4.224848289442536,0.12147730352039299,16.479828686730862,1,4,0.52,0.7150953389830509
FFD,medium,5,400,6,10,4,0.5793856175244576,0.4841423479702506,0.09524326955420698,0.0,4,4,0.2857142857142857,0.4260063559322034
FFD,medium,5,400,6,20,4,0.6721717941023402,0.5758722111505777,0.0962995829517624,0.0,4,4,0.35428571428571426,0.4078522245762712
FFD,medium,5,400,6,30,4,0.45817082104313533,0.365560137420856,0.09261068362227935,0.0,4,4,0.4342857142857143,0.5755429025423728
FFD,medium,5,400,6,40,4,1.0926755951932596,0.9867270136416109,0.10594858155164882,0.0,4,4,0.4857142857142857,0.599510063559322
FFD,medium,5,400,6,50,4,0.9303200623784774,0.8508091102137376,0.07951095216473997,0.0,4,4,0.5485714285714286,0.6728945974576271
FFD,medium,5,400,6,60,4,inf,inf,inf,inf,3,4,0.5314285714285715,0.7253177966101695
DRS,medium,5,400,6,10,4,1.0982782554302577,0.9967086485288771,0.10156960690138046,0.0,4,4,0.2857142857142857,0.4260063559322034
DRS,medium,5,400,6,20,4,1.8494299714412654,1.7285698608269768,0.12086011061428863,0.0,4,4,0.35428571428571426,0.4078522245762712
DRS,medium,5,400,6,30,4,0.9236158340430843,0.8051237666995872,0.11849206734349708,0.0,4,4,0.4342857142857143,0.5755429025423728
DRS,medium,5,400,6,40,4,2.501184655961411,2.3798988095530933,0.12128584640831798,0.0,4,4,0.4857142857142857,0.599510063559322
DRS,medium,5,400,6,50,4,2.5417096469411464,1.9547814465235922,0.12592873962174048,0.46099946079581405,3,4,0.5485714285714286,0.669186970338983
DRS,medium,5,400,6,60,4,6.928793472434833,2.8699282707295044,0.09570562183387286,3.963159579871455,2,4,0.5485714285714286,0.7136520127118644
LEGO,medium,5,400,6,10,4,0.9816670113348132,0.8677182830416206,0.11394872829319257,0.0,4,4,0.2857142857142857,0.4260063559322034
LEGO,medium,5,400,6,20,4,1.180510992183093,1.0618009202798095,0.11871007190328345,0.0,4,4,0.35428571428571426,0.4078522245762712
LEGO,medium,5,400,6,30,4,0.7999483312788662,0.6876363733067377,0.11231195797212885,0.0,4,4,0.4342857142857143,0.5755429025423728
LEGO,medium,5,400,6,40,4,2.134631988687692,2.013077446120256,0.12155454256743548,0.0,4,4,0.4857142857142857,0.599510063559322
LEGO,medium,5,400,6,50,4,1.438934982643578,1.3236261980742068,0.1153087845693715,0.0,4,4,0.5542857142857143,0.6773569915254237
LEGO,medium,5,400,6,60,4,inf,inf,inf,inf,3,4,0.5371428571428571,0.7295948093220339
