algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_normal,perf_class_object,perf_class_scene,perf_segmentsemantic,perf_jigsaw,perf_autoencoder,perf_room_layout
OURS,95.91,1.0,0.0,0.9,72.42,6,0.0005,27,0.5214,39.6148,39.9632,18.0389,0.0199,0.5197,-0.8631
RLS,959.17,0.8519,0.1481,0.77,234.47,21,0.0077,27,0.5803,50.5474,62.4154,24.6527,64.6198,0.5397,-0.6269
FFD,4164.11,0.1852,0.8148,0.17,264.52,6,0.0011,27,0.5803,50.5474,62.4154,24.6527,64.6198,0.5397,-0.6269
DRS,496.02,1.0,0.0,0.9,245.93,18,0.0126,27,0.5803,50.5474,62.4154,24.6527,64.6198,0.5397,-0.6269
LEGO,109.17,1.0,0.0,0.9,239.8,17,0.0035,27,0.5803,50.5474,62.4154,24.6527,64.6198,0.5397,-0.6269
GREEDY,2367.53,0.5556,0.4444,0.5,270.51,18,0.0095,27,0.5803,50.5474,62.4154,24.6527,64.6198,0.5397,-0.6269
PSO,109.2,1.0,0.0,0.9,239.8,17,0.0032,27,0.5803,50.5474,62.4154,24.6527,64.6198,0.5397,-0.6269
STATIC,2281.62,0.5556,0.4444,0.5,144.5,8,0.0016,27,0.5214,39.6148,39.9632,18.0389,0.0199,0.5197,-0.8631
RESOURCE_FIRST,1538.97,0.7778,0.2222,0.7,139.28,8,0.0015,27,0.2756,29.4337,5.837,5.4201,0.0896,0.0346,-1.1613
ACCURACY_FIRST,2281.62,0.5556,0.4444,0.5,144.5,8,0.0016,27,0.5214,39.6148,39.9632,18.0389,0.0199,0.5197,-0.8631
