algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_segmentsemantic,perf_class_object,perf_jigsaw,perf_class_scene,perf_autoencoder,perf_normal,perf_room_layout
OURS,70.75,1.0,0.0,1.0,47.74,5,0.0001,30,18.0389,39.6148,0.0199,39.9632,0.5197,0.5214,-0.8631
RLS,1684.54,0.7,0.3,0.7,213.54,26,0.0088,30,24.6527,50.5474,64.6198,62.4154,0.5397,0.5803,-0.6269
FFD,4235.09,0.1667,0.8333,0.17,264.52,6,0.0011,30,24.6527,50.5474,64.6198,62.4154,0.5397,0.5803,-0.6269
DRS,418.1,1.0,0.0,1.0,235.65,22,0.0147,30,24.6527,50.5474,64.6198,62.4154,0.5397,0.5803,-0.6269
LEGO,99.88,1.0,0.0,1.0,220.64,23,0.0051,30,24.6527,50.5474,64.6198,62.4154,0.5397,0.5803,-0.6269
GREEDY,728.16,0.9,0.1,0.9,238.21,23,0.0121,30,24.6527,50.5474,64.6198,62.4154,0.5397,0.5803,-0.6269
PSO,100.02,1.0,0.0,1.0,210.97,23,0.0047,30,24.6527,50.5474,64.6198,62.4154,0.5397,0.5803,-0.6269
STATIC,433.64,0.9333,0.0667,0.93,117.3,10,0.0023,30,18.0389,39.6148,0.0199,39.9632,0.5197,0.5214,-0.8631
RESOURCE_FIRST,329.06,0.9667,0.0333,0.97,112.08,10,0.0022,30,5.4201,29.4337,0.0896,5.837,0.0346,0.2756,-1.1613
ACCURACY_FIRST,433.64,0.9333,0.0667,0.93,117.3,10,0.0023,30,18.0389,39.6148,0.0199,39.9632,0.5197,0.5214,-0.8631
