algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_segmentsemantic,perf_jigsaw,perf_class_object,perf_class_scene,perf_autoencoder,perf_normal,perf_room_layout
OURS,78.25,1.0,0.0,1.1,57.11,7,0.0003,33,18.0389,0.0199,39.6148,39.9632,0.5197,0.5214,-0.8631
RLS,1560.98,0.7273,0.2727,0.8,229.87,26,0.0107,33,24.6527,64.6198,50.5474,62.4154,0.5397,0.5803,-0.6269
FFD,4170.25,0.1818,0.8182,0.2,264.52,6,0.0011,33,24.6527,64.6198,50.5474,62.4154,0.5397,0.5803,-0.6269
DRS,542.15,1.0,0.0,1.1,223.23,21,0.0132,33,24.6527,64.6198,50.5474,62.4154,0.5397,0.5803,-0.6269
LEGO,106.53,1.0,0.0,1.1,226.05,20,0.0045,33,24.6527,64.6198,50.5474,62.4154,0.5397,0.5803,-0.6269
GREEDY,1408.37,0.7576,0.2424,0.83,230.03,26,0.0129,33,24.6527,64.6198,50.5474,62.4154,0.5397,0.5803,-0.6269
PSO,106.64,1.0,0.0,1.1,226.05,20,0.0046,33,24.6527,64.6198,50.5474,62.4154,0.5397,0.5803,-0.6269
STATIC,699.55,0.8788,0.1212,0.97,106.27,10,0.0019,33,18.0389,0.0199,39.6148,39.9632,0.5197,0.5214,-0.8631
RESOURCE_FIRST,422.31,0.9697,0.0303,1.07,101.05,10,0.0017,33,5.4201,0.0896,29.4337,5.837,0.0346,0.2756,-1.1613
ACCURACY_FIRST,699.55,0.8788,0.1212,0.97,106.27,10,0.0019,33,18.0389,0.0199,39.6148,39.9632,0.5197,0.5214,-0.8631
