algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_class_object,perf_class_scene
OURS,22.57,1.0,0.0,0.33,25.72,2,0.0,10,39.6148,39.9632
RLS,1085.54,0.8,0.2,0.27,129.57,8,0.0013,10,50.5474,62.4154
FFD,1046.62,0.8,0.2,0.27,125.41,9,0.0011,10,50.5474,62.4154
DRS,109.08,1.0,0.0,0.33,125.41,9,0.0018,10,50.5474,62.4154
LEGO,38.24,1.0,0.0,0.33,122.08,5,0.0004,10,50.5474,62.4154
GREEDY,1087.78,0.8,0.2,0.27,125.41,9,0.0018,10,50.5474,62.4154
PSO,38.24,1.0,0.0,0.33,122.08,5,0.0004,10,50.5474,62.4154
STATIC,511.16,0.9,0.1,0.3,25.74,5,0.0001,10,39.6148,39.9632
RESOURCE_FIRST,207.75,1.0,0.0,0.33,20.52,5,0.0,10,29.4337,5.837
ACCURACY_FIRST,511.16,0.9,0.1,0.3,25.74,5,0.0001,10,39.6148,39.9632
