algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_jigsaw,perf_room_layout,perf_class_object,perf_class_scene
OURS,31.79,1.0,0.0,0.33,76.63,2,0.0002,10,0.0199,-0.8631,39.6148,39.9632
RLS,1078.44,0.8,0.2,0.27,121.14,9,0.0017,10,64.6198,-0.6269,50.5474,62.4154
FFD,1035.98,0.8,0.2,0.27,121.14,9,0.0012,10,64.6198,-0.6269,50.5474,62.4154
DRS,90.79,1.0,0.0,0.33,117.76,8,0.0016,10,64.6198,-0.6269,50.5474,62.4154
LEGO,31.28,1.0,0.0,0.33,123.22,6,0.0007,10,64.6198,-0.6269,50.5474,62.4154
GREEDY,1073.6,0.8,0.2,0.27,121.14,9,0.0018,10,64.6198,-0.6269,50.5474,62.4154
PSO,31.28,1.0,0.0,0.33,123.22,6,0.0007,10,64.6198,-0.6269,50.5474,62.4154
STATIC,510.2,0.9,0.1,0.3,46.06,5,0.0002,10,0.0199,-0.8631,39.6148,39.9632
RESOURCE_FIRST,207.47,1.0,0.0,0.33,40.84,5,0.0002,10,0.0896,-1.1613,29.4337,5.837
ACCURACY_FIRST,510.2,0.9,0.1,0.3,46.06,5,0.0002,10,0.0199,-0.8631,39.6148,39.9632
