algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_jigsaw,perf_class_scene,perf_segmentsemantic,perf_class_object,perf_room_layout
OURS,38.9,1.0,0.0,0.3,76.7,2,0.0002,9,0.0199,39.9632,18.0389,39.6148,-0.8631
RLS,643.2,0.8889,0.1111,0.27,145.69,9,0.0022,9,64.6198,62.4154,24.6527,50.5474,-0.6269
FFD,1706.26,0.6667,0.3333,0.2,161.04,7,0.0011,9,64.6198,62.4154,24.6527,50.5474,-0.6269
DRS,169.72,1.0,0.0,0.3,152.38,8,0.0024,9,64.6198,62.4154,24.6527,50.5474,-0.6269
LEGO,36.05,1.0,0.0,0.3,160.1,6,0.0008,9,64.6198,62.4154,24.6527,50.5474,-0.6269
GREEDY,723.43,0.8889,0.1111,0.27,145.69,9,0.0026,9,64.6198,62.4154,24.6527,50.5474,-0.6269
PSO,36.05,1.0,0.0,0.3,160.1,6,0.0008,9,64.6198,62.4154,24.6527,50.5474,-0.6269
STATIC,598.72,0.8889,0.1111,0.27,55.89,7,0.0006,9,0.0199,39.9632,18.0389,39.6148,-0.8631
RESOURCE_FIRST,261.87,1.0,0.0,0.3,50.68,7,0.0005,9,0.0896,5.837,5.4201,29.4337,-1.1613
ACCURACY_FIRST,598.72,0.8889,0.1111,0.27,55.89,7,0.0006,9,0.0199,39.9632,18.0389,39.6148,-0.8631
