algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_jigsaw,perf_class_scene,perf_segmentsemantic,perf_class_object,perf_room_layout,perf_normal
OURS,46.67,1.0,0.0,0.37,76.7,2,0.0002,11,0.0199,39.9632,18.0389,39.6148,-0.8631,0.5214
RLS,595.98,0.9091,0.0909,0.33,218.0,11,0.0044,11,64.6198,62.4154,24.6527,50.5474,-0.6269,0.5803
FFD,2322.6,0.5455,0.4545,0.2,230.59,10,0.0024,11,64.6198,62.4154,24.6527,50.5474,-0.6269,0.5803
DRS,192.98,1.0,0.0,0.37,230.59,10,0.0044,11,64.6198,62.4154,24.6527,50.5474,-0.6269,0.5803
LEGO,43.59,1.0,0.0,0.37,230.62,10,0.0018,11,64.6198,62.4154,24.6527,50.5474,-0.6269,0.5803
GREEDY,1097.34,0.8182,0.1818,0.3,218.0,11,0.0046,11,64.6198,62.4154,24.6527,50.5474,-0.6269,0.5803
PSO,43.59,1.0,0.0,0.37,230.62,10,0.0018,11,64.6198,62.4154,24.6527,50.5474,-0.6269,0.5803
STATIC,970.58,0.8182,0.1818,0.3,95.95,7,0.0014,11,0.0199,39.9632,18.0389,39.6148,-0.8631,0.5214
RESOURCE_FIRST,241.72,1.0,0.0,0.37,90.73,7,0.0014,11,0.0896,5.837,5.4201,29.4337,-1.1613,0.2756
ACCURACY_FIRST,970.58,0.8182,0.1818,0.3,95.95,7,0.0014,11,0.0199,39.9632,18.0389,39.6148,-0.8631,0.5214
