algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_segmentsemantic,perf_class_object,perf_class_scene,perf_normal,perf_autoencoder,perf_jigsaw
OURS,172.03,1.0,0.0,43.94,202.44,45,0.012,2197,-0.8652,14.6826,39.4424,39.3489,0.472,0.4356,2.6396
RLS,2823.33,0.4565,0.5435,20.06,264.49,90,0.0421,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
FFD,3080.0,0.4037,0.5963,17.74,264.49,36,0.0114,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
DRS,2304.82,0.5708,0.4292,25.08,264.49,90,0.0421,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
LEGO,1513.45,0.7365,0.2635,32.36,311.22,68,0.0365,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
GREEDY,3384.34,0.3391,0.6609,14.9,264.49,66,0.0319,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
PSO,1491.81,0.7419,0.2581,32.6,292.27,75,0.0374,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
STATIC,1694.25,0.6691,0.3309,29.4,153.0,11,0.0032,2197,-0.8631,18.0389,39.6148,39.9632,0.5214,0.5197,0.0199
RESOURCE_FIRST,1676.58,0.6727,0.3273,29.56,147.79,11,0.0031,2197,-1.1613,5.4201,29.4337,5.837,0.2756,0.0346,0.0896
ACCURACY_FIRST,1694.25,0.6691,0.3309,29.4,153.0,11,0.0032,2197,-0.8631,18.0389,39.6148,39.9632,0.5214,0.5197,0.0199
