perturb_value,algorithm,avg_latency_ms,success_rate,sla_violation_rate,node_utilization_avg
2,OURS,58.52,0.8,0.2,0.0002
2,RLS,424.96,0.4,0.6,0.0039
2,FFD,1067.65,0.0,1.0,0.0037
2,DRS,408.81,0.0,1.0,0.0056
2,LEGO,76.39,1.0,0.0,0.0023
2,GREEDY,338.86,0.6,0.4,0.0036
2,PSO,76.47,1.0,0.0,0.002
2,STATIC,38.11,1.0,0.0,0.0007
2,RESOURCE_FIRST,34.27,1.0,0.0,0.0006
2,ACCURACY_FIRST,38.11,1.0,0.0,0.0007
5,OURS,52.08,0.9,0.1,0.0002
5,RLS,623.39,0.3,0.7,0.0039
5,FFD,1251.68,0.0,1.0,0.0037
5,DRS,408.81,0.0,1.0,0.0059
5,LEGO,76.64,1.0,0.0,0.0023
5,GREEDY,522.89,0.5,0.5,0.0036
5,PSO,76.72,1.0,0.0,0.002
5,STATIC,236.43,0.9,0.1,0.0007
5,RESOURCE_FIRST,233.35,0.9,0.1,0.0006
5,ACCURACY_FIRST,236.43,0.9,0.1,0.0007
10,OURS,88.57,0.8,0.2,0.0006
10,RLS,623.39,0.3,0.7,0.0039
10,FFD,1561.12,0.0,1.0,0.0037
10,DRS,408.81,0.0,1.0,0.0065
10,LEGO,83.96,1.0,0.0,0.0024
10,GREEDY,699.2,0.5,0.5,0.0036
10,PSO,84.03,1.0,0.0,0.0021
10,STATIC,427.61,0.8,0.2,0.0007
10,RESOURCE_FIRST,424.79,0.8,0.2,0.0006
10,ACCURACY_FIRST,427.61,0.8,0.2,0.0007
20,OURS,98.16,0.8,0.2,0.0006
20,RLS,623.39,0.3,0.7,0.0039
20,FFD,1719.45,0.0,1.0,0.0037
20,DRS,408.81,0.0,1.0,0.0059
20,LEGO,84.03,1.0,0.0,0.0021
20,GREEDY,885.69,0.4,0.6,0.0036
20,PSO,84.03,1.0,0.0,0.0021
20,STATIC,618.79,0.7,0.3,0.0007
20,RESOURCE_FIRST,616.23,0.7,0.3,0.0006
20,ACCURACY_FIRST,618.79,0.7,0.3,0.0007
50,OURS,107.43,0.7,0.3,0.0006
50,RLS,623.39,0.3,0.7,0.0039
50,FFD,1903.48,0.0,1.0,0.0037
50,DRS,339.21,0.2,0.8,0.0058
50,LEGO,84.03,1.0,0.0,0.0019
50,GREEDY,885.69,0.4,0.6,0.0036
50,PSO,84.03,1.0,0.0,0.0019
50,STATIC,618.79,0.7,0.3,0.0007
50,RESOURCE_FIRST,616.23,0.7,0.3,0.0006
50,ACCURACY_FIRST,618.79,0.7,0.3,0.0007
