Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
our,0.11310811755153788,3.899689759979161,0.05957098744949705,0.05353713010204083,0.9280073733333334,0.0,3.334149172221472,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
ffd-m,0.2716610101574932,4.536576583726487,0.2137110101574932,0.05795,0.7861489711111112,0.0,3.1782715329390205,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
cds-m,0.2716610101574932,4.536576583726487,0.2137110101574932,0.05795,0.7861489711111112,0.0,3.1782715329390205,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
random-m,0.2664901768241598,4.536576583726487,0.21371101015749316,0.05277916666666666,0.7861489711111112,0.0,3.2041256996056875,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
greedy-m,0.2627443434908265,4.536576583726487,0.21371101015749316,0.049033333333333325,0.7861489711111112,0.0,3.222854866272354,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
lego,0.2716610101574932,4.536576583726487,0.2137110101574932,0.05795,0.7861489711111112,0.0,3.1782715329390205,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
drs,0.2581054546019376,4.536576583726487,0.21371101015749316,0.04439444444444445,0.7861489711111112,0.0,3.2460493107167987,"{'congested': False, 'oom': False}",arrival_rate,200,0,42
our,0.09320463856118338,3.4828305605965015,0.05261854497223264,0.04058609358895074,0.8771156444444445,1000.0,-996.9831926322095,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
ffd-m,1.749335612193506,4.511956932584149,1.6915489455268393,0.05778666666666667,0.9755825311111112,806546.2857802922,-806550.5205014206,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
cds-m,1.7495622788601726,4.511956932584149,1.6915489455268393,0.05801333333333334,0.9755825311111112,806546.2857802922,-806550.5216347539,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
random-m,0.8404713492473651,4.536380746521603,0.7851463492473651,0.055325,0.9674314288888889,515665.21743392665,-515664.8834099264,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
greedy-m,1.3157630828344622,4.536380746521603,1.2608464161677955,0.054916666666666676,0.9685413622222222,354569.3055927974,-354571.34802746505,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
lego,1.7495622788601726,4.511956932584149,1.6915489455268393,0.05801333333333334,0.9755825311111112,806546.2857802922,-806550.5216347539,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
drs,0.8362880159140318,4.536380746521603,0.7851463492473651,0.051141666666666676,0.9674314288888889,515665.21743392665,-515664.8624932597,"{'congested': True, 'oom': False}",arrival_rate,300,0,42
our,0.09833156401949,3.3841894417581053,0.0583663089174492,0.03996525510204081,0.9185326577777778,1000.0,-997.1074683783394,"{'congested': True, 'oom': False}",arrival_rate,400,0,42
