Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value
our,0.06839687186035229,3.386639887188481,0.043688935352415775,0.02470793650793651,0.8783319133333334,0.0,3.04465552788672,"{'congested': False, 'oom': False}",arrival_rate,100
ffd-m,0.09177360014418556,3.5827460841201164,0.09177360014418556,0.0,0.33086956,0.0,3.1238780833991884,"{'congested': False, 'oom': False}",arrival_rate,100
cds-m,0.10497360014418557,3.5827460841201164,0.09177360014418556,0.013199999999999998,0.33086956,0.0,3.0578780833991885,"{'congested': False, 'oom': False}",arrival_rate,100
random-m,0.12897360014418557,3.5827460841201164,0.09177360014418556,0.037200000000000004,0.33086956,0.0,2.9378780833991884,"{'congested': False, 'oom': False}",arrival_rate,100
greedy-m,0.12777360014418557,3.5827460841201164,0.09177360014418556,0.036000000000000004,0.33086956,0.0,2.9438780833991887,"{'congested': False, 'oom': False}",arrival_rate,100
lego,0.10497360014418557,3.5827460841201164,0.09177360014418556,0.013199999999999998,0.33086956,0.0,3.0578780833991885,"{'congested': False, 'oom': False}",arrival_rate,100
drs,0.13257360014418557,3.5827460841201164,0.09177360014418556,0.0408,0.33086956,0.0,2.9198780833991886,"{'congested': False, 'oom': False}",arrival_rate,100
our,0.07697130172673766,3.128597719858898,0.03966621198314792,0.037305089743589745,0.9728544933333333,0.0,2.7437412112252098,"{'congested': False, 'oom': False}",arrival_rate,200
ffd-m,0.11871262585211786,3.581904481627581,0.10606262585211787,0.01265,0.5377498622222222,0.0,2.9883413523669917,"{'congested': False, 'oom': False}",arrival_rate,200
cds-m,0.12121262585211787,3.581904481627581,0.10606262585211787,0.01515,0.5377498622222222,0.0,2.9758413523669915,"{'congested': False, 'oom': False}",arrival_rate,200
random-m,0.14481262585211788,3.5819044816275802,0.10606262585211787,0.03875,0.5377498622222222,0.0,2.8578413523669908,"{'congested': False, 'oom': False}",arrival_rate,200
greedy-m,0.15071262585211787,3.5819044816275802,0.10606262585211787,0.04465,0.5377498622222222,0.0,2.8283413523669907,"{'congested': False, 'oom': False}",arrival_rate,200
lego,0.12121262585211787,3.581904481627581,0.10606262585211787,0.01515,0.5377498622222222,0.0,2.9758413523669915,"{'congested': False, 'oom': False}",arrival_rate,200
drs,0.14971262585211786,3.5819044816275802,0.10606262585211787,0.04365,0.5377498622222222,0.0,2.833341352366991,"{'congested': False, 'oom': False}",arrival_rate,200
our,0.08945761249606898,3.1038757817594242,0.05143336646432294,0.038024246031746034,0.9712465444444445,0.0,2.6565877192790794,"{'congested': False, 'oom': False}",arrival_rate,300
ffd-m,0.18390547933971163,3.5816239474634024,0.16027881267304497,0.023626666666666667,0.6678918444444445,0.0,2.6620965507648444,"{'congested': False, 'oom': False}",arrival_rate,300
cds-m,0.17518547933971168,3.5816239474634024,0.160278812673045,0.014906666666666667,0.6678918444444445,0.0,2.705696550764844,"{'congested': False, 'oom': False}",arrival_rate,300
random-m,0.20837547933971162,3.5816239474634024,0.16027881267304497,0.04809666666666666,0.6678918444444445,0.0,2.5397465507648445,"{'congested': False, 'oom': False}",arrival_rate,300
greedy-m,0.193148812673045,3.5816239474634024,0.160278812673045,0.03287,0.6678918444444445,0.0,2.6158798840981774,"{'congested': False, 'oom': False}",arrival_rate,300
lego,0.17518547933971168,3.5816239474634024,0.160278812673045,0.014906666666666667,0.6678918444444445,0.0,2.705696550764844,"{'congested': False, 'oom': False}",arrival_rate,300
drs,0.1784121460063783,3.5816239474634024,0.16027881267304497,0.018133333333333335,0.6678918444444445,0.0,2.6895632174315107,"{'congested': False, 'oom': False}",arrival_rate,300
our,0.08458487244710511,2.9981143535795014,0.04593263087554536,0.03865224157155975,0.9761460644444444,0.0,2.5751899913439757,"{'congested': False, 'oom': False}",arrival_rate,400
ffd-m,0.15134677432346993,3.581904481627581,0.13136106003775563,0.019985714285714287,0.9471470244444444,0.0,2.8251706100102316,"{'congested': False, 'oom': False}",arrival_rate,400
cds-m,0.14691839132708853,3.573833223993743,0.1260898198985171,0.02082857142857143,0.9339232022222222,0.0,2.8392412673583003,"{'congested': False, 'oom': False}",arrival_rate,400
random-m,0.17034991718061276,3.581904481627581,0.13136106003775563,0.038988857142857145,0.9471470244444444,0.0,2.7301548957245174,"{'congested': False, 'oom': False}",arrival_rate,400
greedy-m,0.16993563146632706,3.581904481627581,0.13136106003775563,0.03857457142857143,0.9471470244444444,0.0,2.732226324295946,"{'congested': False, 'oom': False}",arrival_rate,400
lego,0.14691839132708853,3.573833223993743,0.1260898198985171,0.02082857142857143,0.9339232022222222,0.0,2.8392412673583003,"{'congested': False, 'oom': False}",arrival_rate,400
drs,0.16957134575204136,3.581904481627581,0.13136106003775563,0.03821028571428572,0.9471470244444444,0.0,2.734047752867374,"{'congested': False, 'oom': False}",arrival_rate,400
our,0.10282911117621575,2.9913876806699498,0.06242985191695649,0.04039925925925926,0.9471885888888889,0.0,2.477242124788871,"{'congested': False, 'oom': False}",arrival_rate,500
ffd-m,0.4746754092495464,3.5750207616971075,0.45826040924954636,0.016415000000000003,0.9862169311111111,6466.376820118683,-6465.175176403233,"{'congested': True, 'oom': False}",arrival_rate,500
cds-m,0.4793704092495464,3.5750207616971075,0.45826040924954636,0.02111,0.9472928044444444,66266.0869735707,-66264.90880485525,"{'congested': True, 'oom': False}",arrival_rate,500
