Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
our,0.08890077594729112,2.2287681701899063,0.06387274306747252,0.02502803287981859,0.8674304511111111,0.0,1.7842642904534507,"{'congested': False, 'oom': False}",chain_length,3,0,42
ffd-m,0.11379329980078468,2.69989199310036,0.11299329980078468,0.0008,0.49882573555555554,0.0,2.130925494096437,"{'congested': False, 'oom': False}",chain_length,3,0,42
cds-m,0.11379329980078468,2.69989199310036,0.11299329980078468,0.0008,0.49882573555555554,0.0,2.130925494096437,"{'congested': False, 'oom': False}",chain_length,3,0,42
random-m,0.13939329980078466,2.6998919931003598,0.11299329980078465,0.0264,0.49882573555555554,0.0,2.0029254940964365,"{'congested': False, 'oom': False}",chain_length,3,0,42
greedy-m,0.14235996646745133,2.6998919931003598,0.11299329980078465,0.02936666666666667,0.49882573555555554,0.0,1.9880921607631032,"{'congested': False, 'oom': False}",chain_length,3,0,42
lego,0.11379329980078468,2.69989199310036,0.11299329980078468,0.0008,0.49882573555555554,0.0,2.130925494096437,"{'congested': False, 'oom': False}",chain_length,3,0,42
drs,0.13722663313411798,2.6998919931003598,0.11299329980078465,0.024233333333333332,0.49882573555555554,0.0,2.0137588274297697,"{'congested': False, 'oom': False}",chain_length,3,0,42
our,0.06908598000793165,3.35554029494061,0.028462424452376088,0.04062355555555556,0.9179847688888889,0.0,3.010110394900952,"{'congested': False, 'oom': False}",chain_length,4,0,42
ffd-m,0.08398296922989588,3.618628355753745,0.08258296922989589,0.0014000000000000002,0.3598491511111111,0.0,3.1987135096042656,"{'congested': False, 'oom': False}",chain_length,4,0,42
cds-m,0.10078296922989588,3.618628355753745,0.08258296922989589,0.0182,0.3598491511111111,0.0,3.1147135096042655,"{'congested': False, 'oom': False}",chain_length,4,0,42
random-m,0.1277079692298959,3.618628355753745,0.08258296922989589,0.04512500000000001,0.3598491511111111,0.0,2.9800885096042653,"{'congested': False, 'oom': False}",chain_length,4,0,42
greedy-m,0.1312829692298959,3.618628355753745,0.08258296922989589,0.04870000000000001,0.3598491511111111,0.0,2.962213509604265,"{'congested': False, 'oom': False}",chain_length,4,0,42
lego,0.10078296922989588,3.618628355753745,0.08258296922989589,0.0182,0.3598491511111111,0.0,3.1147135096042655,"{'congested': False, 'oom': False}",chain_length,4,0,42
drs,0.12503296922989587,3.618628355753745,0.08258296922989589,0.04245,0.3598491511111111,0.0,2.9934635096042657,"{'congested': False, 'oom': False}",chain_length,4,0,42
our,0.12231605748490178,3.871689648617861,0.07066553896638325,0.051650518518518526,0.9841916866666667,0.0,3.2601093611933525,"{'congested': False, 'oom': False}",chain_length,5,0,42
ffd-m,0.22514627270261534,4.384622281506723,0.19584627270261534,0.0293,0.7322838555555555,0.0,3.2588909179936465,"{'congested': False, 'oom': False}",chain_length,5,0,42
cds-m,0.22717960603594867,4.384622281506723,0.19584627270261534,0.03133333333333333,0.7322838555555555,0.0,3.24872425132698,"{'congested': False, 'oom': False}",chain_length,5,0,42
random-m,0.2426700822264248,4.384622281506723,0.1958462727026153,0.046823809523809524,0.7322838555555555,0.0,3.171271870374599,"{'congested': False, 'oom': False}",chain_length,5,0,42
greedy-m,0.24973334753254725,4.384622281506723,0.1958462727026153,0.05388707482993197,0.7322838555555555,0.0,3.135955543843987,"{'congested': False, 'oom': False}",chain_length,5,0,42
lego,0.22717960603594867,4.384622281506723,0.19584627270261534,0.03133333333333333,0.7322838555555555,0.0,3.24872425132698,"{'congested': False, 'oom': False}",chain_length,5,0,42
drs,0.242460558416901,4.384622281506723,0.1958462727026153,0.04661428571428571,0.7322838555555555,0.0,3.172319489422218,"{'congested': False, 'oom': False}",chain_length,5,0,42
