Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
our,0.14331115644859388,2.9112637137291344,0.10599404461598205,0.03731711183261184,0.9115910422222222,0.0,2.194707931486165,"{'congested': False, 'oom': False}",n_task_types,10,0,42
ffd-m,0.11871262585211786,3.581904481627581,0.10606262585211787,0.01265,0.6144881822222222,0.0,2.9883413523669917,"{'congested': False, 'oom': False}",n_task_types,10,0,42
cds-m,0.12441262585211788,3.581904481627581,0.10606262585211787,0.01835,0.6144881822222222,0.0,2.9598413523669915,"{'congested': False, 'oom': False}",n_task_types,10,0,42
random-m,0.14348762585211788,3.5819044816275802,0.10606262585211787,0.037425,0.6144881822222222,0.0,2.864466352366991,"{'congested': False, 'oom': False}",n_task_types,10,0,42
greedy-m,0.15071262585211787,3.5819044816275802,0.10606262585211787,0.04465,0.6144881822222222,0.0,2.8283413523669907,"{'congested': False, 'oom': False}",n_task_types,10,0,42
lego,0.12441262585211788,3.581904481627581,0.10606262585211787,0.01835,0.6144881822222222,0.0,2.9598413523669915,"{'congested': False, 'oom': False}",n_task_types,10,0,42
drs,0.14578762585211785,3.5819044816275802,0.10606262585211787,0.039724999999999996,0.6144881822222222,0.0,2.852966352366991,"{'congested': False, 'oom': False}",n_task_types,10,0,42
our,0.026841832189660186,2.073913799919279,0.012394343012171006,0.01444748917748918,0.9622148066666667,2000.0,-1998.060295361029,"{'congested': True, 'oom': False}",n_task_types,20,0,42
ffd-m,0.12924830536242848,3.4827933349956393,0.09514830536242849,0.034100000000000005,0.8716472355555556,1000.0,-997.1634481918165,"{'congested': True, 'oom': False}",n_task_types,20,0,42
cds-m,0.1169149759562383,3.511751161838924,0.0887149759562383,0.028200000000000003,0.9219379111111111,1000.0,-997.0728237179422,"{'congested': True, 'oom': False}",n_task_types,20,0,42
random-m,0.13172032085583255,3.539731554047565,0.08922032085583254,0.0425,0.9219379111111111,0.0,2.881129949768402,"{'congested': False, 'oom': False}",n_task_types,20,0,42
greedy-m,0.11354752732198053,3.5247201931344136,0.08174752732198053,0.0318,0.9722285866666667,0.0,2.956982556524511,"{'congested': False, 'oom': False}",n_task_types,20,0,42
lego,0.1169149759562383,3.511751161838924,0.0887149759562383,0.028200000000000003,0.9219379111111111,1000.0,-997.0728237179422,"{'congested': True, 'oom': False}",n_task_types,20,0,42
drs,0.12823497595623828,3.511751161838924,0.0887149759562383,0.03952,0.9219379111111111,1000.0,-997.1294237179422,"{'congested': True, 'oom': False}",n_task_types,20,0,42
our,0.03780265493462817,1.1351352538891692,0.02391932160129484,0.013883333333333334,0.9637719911111111,5000.0,-4999.053878020784,"{'congested': True, 'oom': False}",n_task_types,30,0,42
ffd-m,0.8750540699841235,3.140472803503904,0.8404540699841235,0.0346,0.9412805711111111,142480.74304063173,-142481.97783817814,"{'congested': True, 'oom': False}",n_task_types,30,0,42
cds-m,0.5635810881734082,2.8621539811417605,0.5327810881734082,0.030799999999999998,0.9412805711111111,2740.3715203158613,-2740.3272717755867,"{'congested': True, 'oom': False}",n_task_types,30,0,42
random-m,0.17785878380465062,2.8336085963335425,0.1547587838046506,0.023100000000000002,0.9280567488888889,1000.0,-998.0556853226897,"{'congested': True, 'oom': False}",n_task_types,30,0,42
greedy-m,0.5284011835770377,2.8336085963335425,0.49030118357703767,0.038099999999999995,0.9280567488888889,2740.3715203158613,-2740.179917637413,"{'congested': True, 'oom': False}",n_task_types,30,0,42
lego,0.5635810881734082,2.8621539811417605,0.5327810881734082,0.030799999999999998,0.9412805711111111,2740.3715203158613,-2740.3272717755867,"{'congested': True, 'oom': False}",n_task_types,30,0,42
drs,0.8718856907200013,3.111927418695686,0.8372356907200014,0.03465,0.9280567488888889,142480.74304063173,-142481.99054166663,"{'congested': True, 'oom': False}",n_task_types,30,0,42
our,0.06908598000793165,3.35554029494061,0.028462424452376088,0.04062355555555556,0.9179847688888889,0.0,3.010110394900952,"{'congested': False, 'oom': False}",n_task_types,10,1,43
ffd-m,0.08398296922989588,3.618628355753745,0.08258296922989589,0.0014000000000000002,0.3598491511111111,0.0,3.1987135096042656,"{'congested': False, 'oom': False}",n_task_types,10,1,43
cds-m,0.10078296922989588,3.618628355753745,0.08258296922989589,0.0182,0.3598491511111111,0.0,3.1147135096042655,"{'congested': False, 'oom': False}",n_task_types,10,1,43
random-m,0.1277079692298959,3.618628355753745,0.08258296922989589,0.04512500000000001,0.3598491511111111,0.0,2.9800885096042653,"{'congested': False, 'oom': False}",n_task_types,10,1,43
greedy-m,0.1312829692298959,3.618628355753745,0.08258296922989589,0.04870000000000001,0.3598491511111111,0.0,2.962213509604265,"{'congested': False, 'oom': False}",n_task_types,10,1,43
lego,0.10078296922989588,3.618628355753745,0.08258296922989589,0.0182,0.3598491511111111,0.0,3.1147135096042655,"{'congested': False, 'oom': False}",n_task_types,10,1,43
drs,0.12503296922989587,3.618628355753745,0.08258296922989589,0.04245,0.3598491511111111,0.0,2.9934635096042657,"{'congested': False, 'oom': False}",n_task_types,10,1,43
our,0.021182309934106573,1.8232997009218581,0.009182221750685057,0.012000088183421515,0.9635632266666667,3000.0,-2998.2826118487487,"{'congested': True, 'oom': False}",n_task_types,20,1,43
ffd-m,0.12501542968745202,3.595969467083992,0.09111542968745202,0.0339,0.9710481133333333,0.0,2.970892318646732,"{'congested': False, 'oom': False}",n_task_types,20,1,43
cds-m,0.12845487751002904,3.6011931595707294,0.10080487751002903,0.027649999999999997,0.9207574377777777,0.0,2.958918772020584,"{'congested': False, 'oom': False}",n_task_types,20,1,43
random-m,0.13563090683339046,3.5991999339471703,0.0968142401667238,0.038816666666666666,0.9710481133333333,0.0,2.921045399780218,"{'congested': False, 'oom': False}",n_task_types,20,1,43
greedy-m,0.5110004692813311,3.6011931595707294,0.4756088026146645,0.03539166666666667,0.9207574377777777,1740.3715203158613,-1739.3253295026973,"{'congested': True, 'oom': False}",n_task_types,20,1,43
lego,0.12845487751002904,3.6011931595707294,0.10080487751002903,0.027649999999999997,0.9207574377777777,0.0,2.958918772020584,"{'congested': False, 'oom': False}",n_task_types,20,1,43
drs,0.1276320963541187,3.595969467083992,0.09111542968745202,0.03651666666666667,0.9710481133333333,0.0,2.957808985313399,"{'congested': False, 'oom': False}",n_task_types,20,1,43
our,0.037368114070170474,2.1208132194267773,0.01951922518128158,0.01784888888888889,0.9826805244444444,2000.0,-1998.066027350924,"{'congested': True, 'oom': False}",n_task_types,30,1,43
ffd-m,1.110685874639725,3.4814572359260314,1.095185874639725,0.015499999999999998,0.8533806222222222,110221.1145609476,-110223.18653308487,"{'congested': True, 'oom': False}",n_task_types,30,1,43
cds-m,0.7171639041362988,3.4814572359260314,0.6968139041362988,0.02035,0.8533806222222222,103480.74304063173,-103480.84740291648,"{'congested': True, 'oom': False}",n_task_types,30,1,43
random-m,0.48678587463972517,2.9738129772835444,0.46018587463972516,0.026600000000000002,0.8533806222222222,7740.371520315861,-7739.831636711776,"{'congested': True, 'oom': False}",n_task_types,30,1,43
