Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Scale,n_nodes,n_task_types,chain_length,arrival_rate,Replicate,Replicate_Seed
our,0.07431534879905485,2.6777742999852165,0.07431534879905485,0.0,0.057863422222222224,0.0,2.306197555989942,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
ffd-m,0.002789245930714445,1.70687090993003,0.002789245930714445,0.0,0.00375574,0.0,1.692924680276458,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
cds-m,0.002789245930714445,1.70687090993003,0.002789245930714445,0.0,0.00375574,0.0,1.692924680276458,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
random-m,0.026989245930714445,1.70687090993003,0.002789245930714445,0.0242,0.00375574,0.0,1.571924680276458,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
greedy-m,0.026989245930714445,1.70687090993003,0.002789245930714445,0.0242,0.00375574,0.0,1.571924680276458,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
lego,0.002789245930714445,1.70687090993003,0.002789245930714445,0.0,0.00375574,0.0,1.692924680276458,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
drs,0.019189245930714447,1.70687090993003,0.002789245930714445,0.0164,0.00375574,0.0,1.6109246802764579,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,0,42
our,0.04879258853385573,2.7073345900298,0.04879258853385573,0.0,0.05793866222222222,0.0,2.463371647360521,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
ffd-m,0.002822925186418072,1.7153469578600522,0.002822925186418072,0.0,0.00375574,0.0,1.7012323319279619,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
cds-m,0.002822925186418072,1.7153469578600522,0.002822925186418072,0.0,0.00375574,0.0,1.7012323319279619,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
random-m,0.02702292518641807,1.7153469578600522,0.002822925186418072,0.0242,0.00375574,0.0,1.5802323319279619,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
greedy-m,0.02702292518641807,1.7153469578600522,0.002822925186418072,0.0242,0.00375574,0.0,1.5802323319279619,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
lego,0.002822925186418072,1.7153469578600522,0.002822925186418072,0.0,0.00375574,0.0,1.7012323319279619,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
drs,0.01962292518641807,1.7153469578600522,0.002822925186418072,0.0168,0.00375574,0.0,1.6172323319279618,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,1,43
our,0.07947868727541953,2.694927318171496,0.07947868727541953,0.0,0.04342720666666667,0.0,2.2975338817943984,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
ffd-m,0.0027560641842557633,1.743687349432421,0.0027560641842557633,0.0,0.00375574,0.0,1.7299070285111422,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
cds-m,0.0027560641842557633,1.743687349432421,0.0027560641842557633,0.0,0.00375574,0.0,1.7299070285111422,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
random-m,0.03195606418425576,1.743687349432421,0.0027560641842557633,0.0292,0.00375574,0.0,1.5839070285111423,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
greedy-m,0.03195606418425576,1.743687349432421,0.0027560641842557633,0.0292,0.00375574,0.0,1.5839070285111423,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
lego,0.0027560641842557633,1.743687349432421,0.0027560641842557633,0.0,0.00375574,0.0,1.7299070285111422,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
drs,0.013556064184255763,1.743687349432421,0.0027560641842557633,0.0108,0.00375574,0.0,1.6759070285111421,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,2,44
our,0.03909387103912455,2.6769165090974822,0.03909387103912455,0.0,0.07237487777777778,0.0,2.4814471539018594,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
ffd-m,0.002809269481278874,1.6973363597626552,0.002809269481278874,0.0,0.00375574,0.0,1.6832900123562609,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
cds-m,0.002809269481278874,1.6973363597626552,0.002809269481278874,0.0,0.00375574,0.0,1.6832900123562609,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
random-m,0.026409269481278877,1.6973363597626552,0.002809269481278874,0.023600000000000003,0.00375574,0.0,1.5652900123562608,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
greedy-m,0.02960926948127888,1.6973363597626552,0.002809269481278874,0.026800000000000004,0.00375574,0.0,1.5492900123562607,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
lego,0.002809269481278874,1.6973363597626552,0.002809269481278874,0.0,0.00375574,0.0,1.6832900123562609,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
drs,0.023009269481278873,1.6973363597626552,0.002809269481278874,0.0202,0.00375574,0.0,1.5822900123562609,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,3,45
our,0.046285832719217976,2.7198357832290405,0.046285832719217976,0.0,0.057906742222222224,0.0,2.4884066196329506,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
