Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
our,1.5248711341546448,20.276572934773313,2.5079095451185336,1.4810792731578455,0.04379186099679927,0.9954776962962963,3931634.7849822408,-3931639.9014283665,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
ffd-m,2.37820040436569,21.984209341451223,2.6367231470487225,2.3530170710323564,0.025183333333333335,0.9268497407407408,4322282.696715555,-4322291.95099443,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
cds-m,2.37820040436569,21.984209341451223,2.6367231470487225,2.3530170710323564,0.025183333333333335,0.9268497407407408,4322282.696715555,-4322291.95099443,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
random-m,2.37820040436569,21.984209341451223,2.6367231470487225,2.3530170710323564,0.025183333333333335,0.9268497407407408,4322282.696715555,-4322291.95099443,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
greedy-m,2.6340309382513794,28.47357283861049,3.0082575424410547,2.597347604918046,0.03668333333333333,0.9643587037037037,5440091.121699433,-5440101.283596582,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
lego,2.37820040436569,21.984209341451223,2.6367231470487225,2.3530170710323564,0.025183333333333335,0.9268497407407408,4322282.696715555,-4322291.95099443,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
drs,2.908071190355585,32.1943903210507,2.968381579108883,2.8750849644602683,0.03298622589531681,0.9642523037037037,6328591.289831107,-6328602.861805479,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,0,42
our,0.5803124236294631,3.3083295996365747,1.8096865977998278,0.5658457569627965,0.014466666666666666,0.8833315333333334,873214.9111112359,-873216.0029867562,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
ffd-m,3.2067912727596415,23.666470530900085,2.8944488913065056,3.184357939426308,0.022433333333333336,0.5430446148148148,8352109.9032017,-8352123.042709173,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
cds-m,3.2067912727596415,23.666470530900085,2.8944488913065056,3.184357939426308,0.022433333333333336,0.5430446148148148,8352109.9032017,-8352123.042709173,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
random-m,3.2067912727596415,23.666470530900085,2.8944488913065056,3.184357939426308,0.022433333333333336,0.5430446148148148,8352109.9032017,-8352123.042709173,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
greedy-m,3.2067912727596415,23.666470530900085,2.8944488913065056,3.184357939426308,0.022433333333333336,0.5430446148148148,8352109.9032017,-8352123.042709173,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
lego,3.2067912727596415,23.666470530900085,2.8944488913065056,3.184357939426308,0.022433333333333336,0.5430446148148148,8352109.9032017,-8352123.042709173,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
drs,3.2067912727596415,23.666470530900085,2.8944488913065056,3.184357939426308,0.022433333333333336,0.5430446148148148,8352109.9032017,-8352123.042709173,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,1,43
our,1.151667162437284,11.952231486163505,2.3907871788373622,1.1194441182195969,0.032223044217687076,0.9956582074074074,2561427.9497715943,-2561431.3173202276,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
ffd-m,3.3041570889069427,24.875348183193164,3.1202288730016257,3.2689570889069426,0.0352,0.9668496148148148,5238950.158284403,-5238963.558840975,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
cds-m,3.3041570889069427,24.875348183193164,3.1202288730016257,3.2689570889069426,0.0352,0.9668496148148148,5238950.158284403,-5238963.558840975,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
random-m,2.7044058002819886,24.26858363429443,3.1202288730016257,2.6696082492615805,0.034797551020408164,0.9628083037037037,5218312.271297988,-5218322.673098116,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
greedy-m,2.70509360675056,24.269271440763,3.1202288730016257,2.6699252939933587,0.03516831275720164,0.9628083037037037,5218312.271297988,-5218322.676537149,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
lego,3.3041570889069427,24.875348183193164,3.1202288730016257,3.2689570889069426,0.0352,0.9668496148148148,5238950.158284403,-5238963.558840975,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
