index,Resource_Factor,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Effective_Delay_mean,Effective_Delay_std,Avg_QoS_Q_mean,Avg_QoS_Q_std,Comp_Delay_mean,Comp_Delay_std,Comm_Delay_mean,Comm_Delay_std,Mem_Utilization_mean,Mem_Utilization_std,Penalty_Score_mean,Penalty_Score_std,Fitness_mean,Fitness_std
0,0.3,cds-m,2.8211976893494546,0.41529851609583607,23.981760332345438,6.976975546370125,2.8528181687277745,0.2392320973506352,2.790479356016121,0.41533280621593854,0.030718333333333337,0.007029727221935059,0.8124396385185186,0.13277313717977263,5956765.503471782,1321467.312270054,-5956776.75664206,1321468.6673785415
1,0.3,drs,2.8200106097035067,0.36573962073521343,24.965356585494796,7.401803910161452,2.8876548721418667,0.23103370005835977,2.788461998225086,0.3673813635035313,0.03154861147842057,0.006723061958563356,0.8149849814814815,0.13664209274558084,6175832.574084696,1212660.1725513297,-6175843.786482872,1212661.6413419947
2,0.3,ffd-m,2.8205510147370805,0.41584131972753113,23.98111365773306,6.977146439267083,2.8528181687277745,0.2392320973506352,2.790335181403747,0.41542984444569525,0.030215833333333338,0.006795764442051523,0.8124107585185186,0.13282531566215597,5956765.503471782,1321467.312270054,-5956776.753408687,1321468.6689561054
3,0.3,greedy-m,2.7666991175927786,0.3297289866142531,24.329967818805223,6.988251457142309,2.8709732438770885,0.21238317747149316,2.7350572863170584,0.3319061388068251,0.031641831275720164,0.007050970265421331,0.798185702962963,0.1524977717520244,5994802.540581726,1165929.5577746895,-5994813.50310407,1165930.8705860595
4,0.3,lego,2.8211976893494546,0.41529851609583607,23.981760332345438,6.976975546370125,2.8528181687277745,0.2392320973506352,2.790479356016121,0.41533280621593854,0.030718333333333337,0.007029727221935059,0.8124396385185186,0.13277313717977263,5956765.503471782,1321467.312270054,-5956776.75664206,1321468.6673785415
5,0.3,our,1.0823580259609247,0.4477374905639631,12.925089482364836,8.233515244765464,2.2979388239924665,0.2814149304433449,1.0534461136808415,0.4424798541396194,0.028911912280083114,0.008330488371300942,0.9676939007407407,0.047453094355179234,2654186.336874669,1431620.8482277356,-2654189.450725975,1431622.8313933313
6,0.3,random-m,2.7664441267754425,0.38951368476576825,23.943759083205773,6.986194756820121,2.8544890289358507,0.24171593358704901,2.7361110383400686,0.39016349484900065,0.03033308843537415,0.006713876270498484,0.8112196451851851,0.13256523402452022,5975201.714773141,1343489.9310050558,-5975212.692504746,1343491.515630267
7,0.5,cds-m,3.1680891182517916,0.8839485280859045,17.563898928070728,6.366128576272069,3.3827160662548565,0.20562521574973427,3.1291508960295693,0.8847051292330794,0.03893822222222222,0.006950996340342639,0.8487690973333333,0.0829304835803,6747638.313474588,2946561.860844021,-6747650.771204112,2946565.4247490405
8,0.5,drs,3.256195957681453,0.7110917398347523,18.228666753323832,5.695052924216923,3.4492469581054648,0.0938782784012596,3.2172414403206147,0.70989977835154,0.03895451736083781,0.0059256172200672225,0.8677331373333332,0.07949020421059746,6752742.177414854,2884609.531277399,-6752755.009147684,2884612.5804657643
9,0.5,ffd-m,3.2510091040770797,0.8171008582705963,17.293907355127804,6.377686594900347,3.3753853181981093,0.21634547250954467,3.212105881854858,0.818366600243343,0.03890322222222222,0.00690613648222442,0.8388590093333332,0.07219962469649473,6797986.742407629,2926060.091103091,-6797999.622067831,2926063.260083752
10,0.5,greedy-m,3.2837670693594907,0.8718141244093816,18.541874887380825,5.731257449826074,3.4507032365182146,0.13222443486603686,3.2443257651597945,0.8711943847792135,0.03944130419969641,0.006025576854978524,0.8623756875555555,0.08206788577778391,6811656.487452189,2828116.771553179,-6811669.4555843,2828120.0427552583
