Step,Algorithm,Replicate,Load_Factor,Capacity_Factor,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness
0,our,0,1.0,1.0,0.16442023770601522,3.5866170434883133,0.13348134881712634,0.030938888888888887,0.6705413177777778,0.0,2.7645158549582374
0,ffd-m,0,1.0,1.0,0.07334595590085238,2.798742486144445,0.06894595590085238,0.0044,0.37848640222222224,0.0,2.432012706640183
0,cds-m,0,1.0,1.0,0.06142616978285924,2.4012921166224053,0.05702616978285924,0.0044,0.36258140666666666,0.0,2.094161267708109
0,random-m,0,1.0,1.0,0.11145706701196349,2.798742486144445,0.06894595590085238,0.04251111111111111,0.37848640222222224,0.0,2.2414571510846275
0,greedy-m,0,1.0,1.0,0.09747061422730369,2.4012921166224053,0.05702616978285924,0.04044444444444444,0.36258140666666666,0.0,1.913939045485887
0,lego,0,1.0,1.0,0.06792231689711,2.5079067489303903,0.06352231689710999,0.0044,0.36826176222222223,0.0,2.1682951644448405
0,drs,0,1.0,1.0,0.12429561672952237,2.803870498228323,0.08114006117396681,0.04315555555555556,0.3921863844444444,0.0,2.182392414580711
1,our,0,1.0,1.0,0.16442023770601522,3.5866170434883133,0.13348134881712634,0.030938888888888887,0.6705413177777778,0.0,2.7645158549582374
1,ffd-m,0,1.0,1.0,0.07334595590085238,2.798742486144445,0.06894595590085238,0.0044,0.37848640222222224,0.0,2.432012706640183
1,cds-m,0,1.0,1.0,0.06142616978285924,2.4012921166224053,0.05702616978285924,0.0044,0.36258140666666666,0.0,2.094161267708109
1,random-m,0,1.0,1.0,0.11145706701196349,2.798742486144445,0.06894595590085238,0.04251111111111111,0.37848640222222224,0.0,2.2414571510846275
1,greedy-m,0,1.0,1.0,0.09747061422730369,2.4012921166224053,0.05702616978285924,0.04044444444444444,0.36258140666666666,0.0,1.913939045485887
1,lego,0,1.0,1.0,0.06792231689711,2.5079067489303903,0.06352231689710999,0.0044,0.36826176222222223,0.0,2.1682951644448405
1,drs,0,1.0,1.0,0.12429561672952237,2.803870498228323,0.08114006117396681,0.04315555555555556,0.3921863844444444,0.0,2.182392414580711
2,our,0,1.0,1.0,0.16442023770601522,3.5866170434883133,0.13348134881712634,0.030938888888888887,0.6705413177777778,0.0,2.7645158549582374
2,ffd-m,0,1.0,1.0,0.07334595590085238,2.798742486144445,0.06894595590085238,0.0044,0.37848640222222224,0.0,2.432012706640183
2,cds-m,0,1.0,1.0,0.06142616978285924,2.4012921166224053,0.05702616978285924,0.0044,0.36258140666666666,0.0,2.094161267708109
2,random-m,0,1.0,1.0,0.11145706701196349,2.798742486144445,0.06894595590085238,0.04251111111111111,0.37848640222222224,0.0,2.2414571510846275
2,greedy-m,0,1.0,1.0,0.09747061422730369,2.4012921166224053,0.05702616978285924,0.04044444444444444,0.36258140666666666,0.0,1.913939045485887
2,lego,0,1.0,1.0,0.06792231689711,2.5079067489303903,0.06352231689710999,0.0044,0.36826176222222223,0.0,2.1682951644448405
2,drs,0,1.0,1.0,0.12429561672952237,2.803870498228323,0.08114006117396681,0.04315555555555556,0.3921863844444444,0.0,2.182392414580711
3,our,0,1.0,1.0,0.16442023770601522,3.5866170434883133,0.13348134881712634,0.030938888888888887,0.6705413177777778,0.0,2.7645158549582374
3,ffd-m,0,1.0,1.0,0.07334595590085238,2.798742486144445,0.06894595590085238,0.0044,0.37848640222222224,0.0,2.432012706640183
3,cds-m,0,1.0,1.0,0.06142616978285924,2.4012921166224053,0.05702616978285924,0.0044,0.36258140666666666,0.0,2.094161267708109
3,random-m,0,1.0,1.0,0.11145706701196349,2.798742486144445,0.06894595590085238,0.04251111111111111,0.37848640222222224,0.0,2.2414571510846275
3,greedy-m,0,1.0,1.0,0.09747061422730369,2.4012921166224053,0.05702616978285924,0.04044444444444444,0.36258140666666666,0.0,1.913939045485887
3,lego,0,1.0,1.0,0.06792231689711,2.5079067489303903,0.06352231689710999,0.0044,0.36826176222222223,0.0,2.1682951644448405
3,drs,0,1.0,1.0,0.12429561672952237,2.803870498228323,0.08114006117396681,0.04315555555555556,0.3921863844444444,0.0,2.182392414580711
4,our,0,1.0,1.0,0.16442023770601522,3.5866170434883133,0.13348134881712634,0.030938888888888887,0.6705413177777778,0.0,2.7645158549582374
4,ffd-m,0,1.0,1.0,0.07334595590085238,2.798742486144445,0.06894595590085238,0.0044,0.37848640222222224,0.0,2.432012706640183
4,cds-m,0,1.0,1.0,0.06142616978285924,2.4012921166224053,0.05702616978285924,0.0044,0.36258140666666666,0.0,2.094161267708109
4,random-m,0,1.0,1.0,0.11145706701196349,2.798742486144445,0.06894595590085238,0.04251111111111111,0.37848640222222224,0.0,2.2414571510846275
4,greedy-m,0,1.0,1.0,0.09747061422730369,2.4012921166224053,0.05702616978285924,0.04044444444444444,0.36258140666666666,0.0,1.913939045485887
4,lego,0,1.0,1.0,0.06792231689711,2.5079067489303903,0.06352231689710999,0.0044,0.36826176222222223,0.0,2.1682951644448405
4,drs,0,1.0,1.0,0.12429561672952237,2.803870498228323,0.08114006117396681,0.04315555555555556,0.3921863844444444,0.0,2.182392414580711
5,our,0,1.0,1.0,0.16442023770601522,3.5866170434883133,0.13348134881712634,0.030938888888888887,0.6705413177777778,0.0,2.7645158549582374
5,ffd-m,0,1.0,1.0,0.07334595590085238,2.798742486144445,0.06894595590085238,0.0044,0.37848640222222224,0.0,2.432012706640183
5,cds-m,0,1.0,1.0,0.06142616978285924,2.4012921166224053,0.05702616978285924,0.0044,0.36258140666666666,0.0,2.094161267708109
5,random-m,0,1.0,1.0,0.11145706701196349,2.798742486144445,0.06894595590085238,0.04251111111111111,0.37848640222222224,0.0,2.2414571510846275
5,greedy-m,0,1.0,1.0,0.09747061422730369,2.4012921166224053,0.05702616978285924,0.04044444444444444,0.36258140666666666,0.0,1.913939045485887
5,lego,0,1.0,1.0,0.06792231689711,2.5079067489303903,0.06352231689710999,0.0044,0.36826176222222223,0.0,2.1682951644448405
5,drs,0,1.0,1.0,0.12429561672952237,2.803870498228323,0.08114006117396681,0.04315555555555556,0.3921863844444444,0.0,2.182392414580711
6,our,0,1.2353,0.877,0.35652630122516343,3.3701939901592346,0.3159450573306665,0.04058124389449691,0.9873547623833459,14246.884098642226,-14245.296536158192
6,ffd-m,0,1.2353,0.877,0.7686619514333695,2.799454713127402,0.764229519000937,0.004432432432432433,0.43158968308695017,1057573.1302643584,-1057574.1741194024
6,cds-m,0,1.2353,0.877,0.7532837537082122,2.401821772289947,0.7488513212757798,0.004432432432432433,0.4134531477952775,1037693.7006869841,-1037695.0652839803
6,random-m,0,1.2353,0.877,0.8067160054874234,2.799454713127402,0.7642295190009369,0.04248648648648648,0.43158968308695017,95108.49228516646,-95109.72641048077
6,greedy-m,0,1.2353,0.877,0.7893017717262303,2.401821772289947,0.7488513212757798,0.04045045045045045,0.4134531477952775,84587.33386366787,-84588.8785507542
6,lego,0,1.2353,0.877,0.7551067926211688,2.508158740548811,0.7506743601887363,0.004432432432432433,0.41993048182801773,1051782.2461194503,-1051783.513494673
6,drs,0,1.2353,0.877,0.831642071406303,2.804438679153394,0.7884528822171137,0.04318918918918919,0.44721183212815707,72929.79825607898,-72931.15202775686
7,our,0,1.4706,0.7539,0.8045000610284856,3.333929189903352,0.7616578261800008,0.042842234848484845,0.9961892099835494,751545.5880482846,-751546.2766193999
7,ffd-m,0,1.4706,0.7539,1.1614109654542428,2.798380043273872,1.1570473290906065,0.004363636363636364,0.5020261214113113,1275115.8314371153,-1275118.8401118994
7,cds-m,0,1.4706,0.7539,1.1561675800146265,2.4014662816270476,1.1518039436509901,0.004363636363636364,0.4809296614514853,1245579.576780025,-1245582.9561516433
7,random-m,0,1.4706,0.7539,1.199562480605758,2.798380043273872,1.1570473290906065,0.042515151515151506,0.5020261214113113,486240.239681734,-486243.4391140938
7,greedy-m,0,1.4706,0.7539,1.192243337590384,2.4014662816270476,1.1518039436509901,0.040439393939393935,0.4809296614514853,618712.680026769,-618716.2397771754
7,lego,0,1.4706,0.7539,1.1593804336388136,2.508209248222894,1.1550167972751773,0.004363636363636364,0.4884641114371374,1257691.4383116628,-1257694.7270045828
7,drs,0,1.4706,0.7539,1.2097513155888844,2.8035036337325057,1.1665846489222178,0.043166666666666666,0.520197841446812,366122.47386723384,-366125.7191201781
8,our,0,1.7059,0.6309,0.7547913351470252,2.5248584739258626,0.7080219032027937,0.046769431944231506,0.9963137359920268,1007227.0817513214,-1007228.3308495233
8,ffd-m,0,1.7059,0.6309,1.1749394095178685,2.799149705841289,1.1705167089307844,0.0044227005870841486,0.5999372781039536,1543897.44533433,-1543900.5208816717
8,cds-m,0,1.7059,0.6309,1.162685979620453,2.4011496411493516,1.158263279033369,0.0044227005870841486,0.5747263334416588,1519181.5759597933,-1519184.9882400502
8,random-m,0,1.7059,0.6309,1.2130476939275228,2.799149705841289,1.1705167089307844,0.04253098499673841,0.5999372781039536,1975849.8125272174,-1975853.0786159812
8,greedy-m,0,1.7059,0.6309,1.1987199000379352,2.4011496411493516,1.158263279033369,0.04045662100456621,0.5747263334416588,1341986.395450054,-1341989.987899913
8,lego,0,1.7059,0.6309,1.1716212164601068,2.5076812788823,1.1671985158730227,0.0044227005870841486,0.5837302422496212,1529316.753590603,-1529320.1040154062
