algorithm,avg_latency,success_rate,deployment_cost,param,value
ffd-m,316.70932435679526,0.8,1,arrival_rate,1.0
drs,314.3990976637078,0.8,14,arrival_rate,1.0
lego,313.60814420514873,0.8,4,arrival_rate,1.0
cds-m,313.41358331534826,0.8,2,arrival_rate,1.0
random-m,319.3211435381533,0.8,4,arrival_rate,1.0
greedy-m,318.5722135002891,0.8,4,arrival_rate,1.0
our,312.6970904905446,0.8,1,arrival_rate,1.0
ffd-m,346.07379185579987,0.8,4,arrival_rate,20.0
drs,335.92560739025373,0.8,10,arrival_rate,20.0
lego,344.1372628504854,0.8,7,arrival_rate,20.0
cds-m,342.7596954399751,0.8,4,arrival_rate,20.0
random-m,346.2549737438886,0.8,6,arrival_rate,20.0
greedy-m,346.34246716359013,0.8,6,arrival_rate,20.0
our,315.415211803063,0.8,1,arrival_rate,20.0
ffd-m,393.8023955210075,0.8,6,arrival_rate,30.0
drs,inf,0.0,6,arrival_rate,30.0
lego,inf,0.0,5,arrival_rate,30.0
cds-m,458.18140041989,0.8,5,arrival_rate,30.0
random-m,394.016733537385,0.8,7,arrival_rate,30.0
greedy-m,394.11732061209034,0.8,7,arrival_rate,30.0
our,314.06586091043545,0.8,1,arrival_rate,30.0
ffd-m,510.53711615525674,0.8,7,arrival_rate,40.0
drs,inf,0.0,4,arrival_rate,40.0
lego,inf,0.0,6,arrival_rate,40.0
cds-m,670.5360788837188,0.6,6,arrival_rate,40.0
random-m,277.13300774961493,0.6,8,arrival_rate,40.0
greedy-m,510.9301979436488,0.8,8,arrival_rate,40.0
our,318.3365303908578,0.8,1,arrival_rate,40.0
ffd-m,1120.626311974325,0.4,7,arrival_rate,50.0
drs,inf,0.0,0,arrival_rate,50.0
lego,inf,0.0,0,arrival_rate,50.0
cds-m,,0.0,6,arrival_rate,50.0
random-m,234.7496255413384,0.2,4,arrival_rate,50.0
greedy-m,1120.766989698406,0.4,8,arrival_rate,50.0
our,332.3927570600861,0.8,1,arrival_rate,50.0
ffd-m,inf,0.0,6,arrival_rate,60.0
drs,inf,0.0,0,arrival_rate,60.0
lego,inf,0.0,0,arrival_rate,60.0
cds-m,,0.0,5,arrival_rate,60.0
random-m,511.82483770349427,0.0,5,arrival_rate,60.0
greedy-m,inf,0.0,6,arrival_rate,60.0
our,375.94172777759553,0.8,1,arrival_rate,60.0
